frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1772865961.734083000","60",,,,,,
"1772865961.768542000","172","192.168.68.57","20.189.173.4",,,"7971","443"
"1772865961.768694000","1218","192.168.68.57","20.189.173.4",,,"7971","443"
"1772865961.881608000","54","20.189.173.4","192.168.68.57",,,"443","7971"
"1772865961.881608000","148","20.189.173.4","192.168.68.57",,,"443","7971"
"1772865961.882945000","89","192.168.68.57","20.189.173.4",,,"7971","443"
"1772865961.984171000","60",,,,,,
"1772865962.040543000","54","20.189.173.4","192.168.68.57",,,"443","7971"
"1772865962.232170000","60",,,,,,
"1772865962.450206000","60",,,,,,
"1772865962.484117000","60",,,,,,
"1772865962.567836000","164","192.168.68.57","192.168.68.54",,,"40775","8009"
"1772865962.589263000","164","192.168.68.54","192.168.68.57",,,"8009","40775"
"1772865962.638358000","54","192.168.68.57","192.168.68.54",,,"40775","8009"
"1772865962.682936000","164","192.168.68.57","192.168.1.185",,,"52118","8009"
"1772865962.683160000","164","192.168.68.57","192.168.1.15",,,"45754","8009"
"1772865962.687531000","164","192.168.1.185","192.168.68.57",,,"8009","52118"
"1772865962.687532000","164","192.168.1.15","192.168.68.57",,,"8009","45754"
"1772865962.731363000","54","192.168.68.57","192.168.1.185",,,"52118","8009"
"1772865962.731368000","54","192.168.68.57","192.168.1.15",,,"45754","8009"
"1772865962.734049000","60",,,,,,
"1772865962.983992000","60",,,,,,
"1772865963.023452000","221","104.18.35.46","192.168.68.57",,,"443","59460"
"1772865963.024354000","225","192.168.68.57","104.18.35.46",,,"59460","443"
"1772865963.083919000","54","104.18.35.46","192.168.68.57",,,"443","59460"
"1772865963.152103000","224","104.18.35.46","192.168.68.57",,,"443","10822"
"1772865963.153101000","228","192.168.68.57","104.18.35.46",,,"10822","443"
"1772865963.213191000","54","104.18.35.46","192.168.68.57",,,"443","10822"
"1772865963.234087000","60",,,,,,
"1772865963.450792000","60",,,,,,
"1772865963.484957000","60",,,,,,
"1772865963.724216000","479","192.168.68.1","239.255.255.250","47863","1900",,
"1772865963.733989000","60",,,,,,
"1772865963.909968000","222","104.18.35.46","192.168.68.57",,,"443","47545"
"1772865963.911889000","226","192.168.68.57","104.18.35.46",,,"47545","443"
"1772865963.972252000","54","104.18.35.46","192.168.68.57",,,"443","47545"
"1772865963.984013000","60",,,,,,
"1772865964.234122000","60",,,,,,
"1772865964.453030000","60",,,,,,
"1772865964.485304000","60",,,,,,
"1772865964.734193000","60",,,,,,
"1772865964.892972000","164","192.168.68.57","192.168.68.53",,,"37126","8009"
"1772865964.897488000","164","192.168.68.53","192.168.68.57",,,"8009","37126"
"1772865964.950128000","54","192.168.68.57","192.168.68.53",,,"37126","8009"
"1772865964.983167000","60",,,,,,
"1772865965.234092000","60",,,,,,
"1772865965.530718000","221","104.18.35.46","192.168.68.57",,,"443","59460"
"1772865965.531739000","225","192.168.68.57","104.18.35.46",,,"59460","443"
"1772865965.536336000","86","192.168.68.1","224.0.0.251","41386","5353",,
"1772865965.556264000","86","192.168.68.1","224.0.0.251","48059","5353",,
"1772865965.598639000","54","104.18.35.46","192.168.68.57",,,"443","59460"
