frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1769498288.617840300","617","192.168.0.113","255.255.255.255","53500","31337",,
"1769498288.617930000","811","192.168.0.113","255.255.255.255","65156","31337",,
"1769498288.617940800","617","192.168.0.113","255.255.255.255","53500","31338",,
"1769498288.617987400","811","192.168.0.113","255.255.255.255","65156","31338",,
"1769498288.617998200","617","192.168.0.113","255.255.255.255","53500","31339",,
"1769498288.618057800","811","192.168.0.113","255.255.255.255","65156","31339",,
"1769498288.744897500","80","168.119.77.90","192.168.0.113",,,"443","49311"
"1769498288.745961100","84","192.168.0.113","168.119.77.90",,,"49311","443"
"1769498288.785953200","86","192.168.0.113","57.144.196.192",,,"65396","443"
"1769498288.789655200","143","192.168.0.113","172.217.162.131","62996","443",,
"1769498288.790138700","143","192.168.0.113","172.217.162.131","62996","443",,
"1769498288.822074200","579","192.168.0.113","255.255.255.255","65156","31337",,
"1769498288.822284900","579","192.168.0.113","255.255.255.255","65156","31338",,
"1769498288.822293100","609","192.168.0.113","255.255.255.255","53500","31337",,
"1769498288.822378800","579","192.168.0.113","255.255.255.255","65156","31339",,
"1769498288.822469900","609","192.168.0.113","255.255.255.255","53500","31338",,
"1769498288.822669100","609","192.168.0.113","255.255.255.255","53500","31339",,
"1769498288.845722300","120","142.251.132.10","192.168.0.113","443","59374",,
"1769498288.846023700","76","192.168.0.113","142.251.132.10","59374","443",,
"1769498288.911094100","82","57.144.196.192","192.168.0.113",,,"443","65396"
"1769498288.949866300","60","168.119.77.90","192.168.0.113",,,"443","49311"
"1769498288.952733700","54","192.168.0.113","57.144.196.192",,,"65396","443"
"1769498288.966676200","73","172.217.162.131","192.168.0.113","443","62996",,
"1769498289.003835900","75","192.168.0.113","172.217.162.131","62996","443",,
"1769498289.007403400","185","172.217.162.131","192.168.0.113","443","62996",,
"1769498289.007403400","132","172.217.162.131","192.168.0.113","443","62996",,
"1769498289.008772000","66","172.217.162.131","192.168.0.113","443","62996",,
"1769498289.011385500","66","172.217.162.131","192.168.0.113","443","62996",,
"1769498289.033958100","80","192.168.0.113","172.217.162.131","62996","443",,
"1769498289.036186700","618","192.168.0.113","255.255.255.255","65156","31337",,
"1769498289.036330100","618","192.168.0.113","255.255.255.255","65156","31338",,
"1769498289.036330300","1010","192.168.0.113","255.255.255.255","53500","31337",,
"1769498289.036384300","1010","192.168.0.113","255.255.255.255","53500","31338",,
"1769498289.036411400","618","192.168.0.113","255.255.255.255","65156","31339",,
"1769498289.036457800","1010","192.168.0.113","255.255.255.255","53500","31339",,
"1769498289.163724900","68","172.217.162.131","192.168.0.113","443","62996",,
"1769498289.238377200","1234","192.168.0.113","255.255.255.255","65156","31337",,
