frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1769541590.233425900","54","192.168.0.43","168.119.77.25",,,"62517","443"
"1769541590.233752500","812","192.168.0.43","255.255.255.255","65156","31337",,
"1769541590.233799500","812","192.168.0.43","255.255.255.255","65156","31338",,
"1769541590.233826200","812","192.168.0.43","255.255.255.255","65156","31339",,
"1769541590.245517900","152","20.42.73.30","192.168.0.43",,,"443","63495"
"1769541590.248053400","54","192.168.0.43","168.119.77.25",,,"53070","443"
"1769541590.266283900","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266283900","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266283900","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266283900","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266283900","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266283900","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266283900","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266283900","220","192.168.0.43","255.255.255.255","53500","31337",,
"1769541590.266426200","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266426200","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266426200","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266426200","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266426200","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266426200","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266426200","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266426200","220","192.168.0.43","255.255.255.255","53500","31338",,
"1769541590.266505000","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266505000","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266505000","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266505000","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266505000","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266505000","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266505000","1514","192.168.0.43","255.255.255.255",,,,
"1769541590.266505000","220","192.168.0.43","255.255.255.255","53500","31339",,
"1769541590.298100100","54","192.168.0.43","20.42.73.30",,,"63495","443"
"1769541590.434274300","1148","192.168.0.43","255.255.255.255","63931","31340",,
"1769541590.434435800","1148","192.168.0.43","255.255.255.255","63931","31341",,
"1769541590.434481300","1148","192.168.0.43","255.255.255.255","63931","31342",,
"1769541590.434740900","1010","192.168.0.43","255.255.255.255","65156","31337",,
"1769541590.434814000","1010","192.168.0.43","255.255.255.255","65156","31338",,
"1769541590.434898300","1010","192.168.0.43","255.255.255.255","65156","31339",,
"1769541590.475846300","70","192.168.0.43","255.255.255.255","58811","40001",,
"1769541590.475883000","590","192.168.0.43","255.255.255.255","53500","31337",,
"1769541590.475934500","590","192.168.0.43","255.255.255.255","53500","31338",,
"1769541590.475982100","590","192.168.0.43","255.255.255.255","53500","31339",,
"1769541590.530484800","152","20.42.73.30","192.168.0.43",,,"443","63495"
"1769541590.530532000","66","192.168.0.43","20.42.73.30",,,"63495","443"
"1769541590.650476600","619","192.168.0.43","255.255.255.255","65156","31337",,
"1769541590.650574700","619","192.168.0.43","255.255.255.255","65156","31338",,
"1769541590.650620000","619","192.168.0.43","255.255.255.255","65156","31339",,
"1769541590.681259400","807","192.168.0.43","255.255.255.255","53500","31337",,
"1769541590.681435900","807","192.168.0.43","255.255.255.255","53500","31338",,
"1769541590.681559500","807","192.168.0.43","255.255.255.255","53500","31339",,
"1769541590.712366400","97","69.48.218.2","192.168.0.43",,,"443","62882"
"1769541590.716248600","89","192.168.0.43","69.48.218.2",,,"62882","443"
"1769541590.719355500","4171","192.168.0.43","69.48.218.2",,,"62882","443"
"1769541590.735728100","64","69.48.218.2","192.168.0.43",,,"443","62882"
"1769541590.749682900","64","69.48.218.2","192.168.0.43",,,"443","62882"
"1769541590.749682900","64","69.48.218.2","192.168.0.43",,,"443","62882"
"1769541590.749682900","64","69.48.218.2","192.168.0.43",,,"443","62882"
"1769541590.798552800","1262","192.168.0.43","255.255.255.255","63931","31340",,
