frame.time_epoch,frame.len,ip.src,ip.dst,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1769403421.143725500","232","192.168.0.30","224.0.0.251","5353","5353",,
"1769403421.144715600","252",,,"5353","5353",,
"1769403421.145791600","93","192.168.0.30","224.0.0.251","5353","5353",,
"1769403421.146505400","113",,,"5353","5353",,
"1769403421.406141000","93","192.168.0.30","224.0.0.251","5353","5353",,
"1769403421.407026800","113",,,"5353","5353",,
"1769403421.653986200","108","192.168.0.30","1.1.1.1","58286","53",,
"1769403421.654206700","107","192.168.0.30","1.1.1.1","58286","53",,
"1769403421.654359600","155","192.168.0.30","1.1.1.1","58286","53",,
"1769403421.654512000","155","192.168.0.30","1.1.1.1","58286","53",,
"1769403421.666107500","89","1.1.1.1","192.168.0.30","53","58286",,
"1769403421.666918200","93","192.168.0.30","224.0.0.251","5353","5353",,
"1769403421.667999200","113",,,"5353","5353",,
"1769403421.671838900","136","1.1.1.1","192.168.0.30","53","58286",,
"1769403421.676326300","223","1.1.1.1","192.168.0.30","53","58286",,
"1769403421.929765700","297","192.168.0.30","224.0.0.251","5353","5353",,
"1769403421.930843400","317",,,"5353","5353",,
"1769403421.931856800","233","192.168.0.30","224.0.0.251","5353","5353",,
"1769403421.932753700","253",,,"5353","5353",,
"1769403422.653923400","103","192.168.0.30","1.1.1.1","58286","53",,
"1769403422.668076200","124","1.1.1.1","192.168.0.30","53","58286",,
"1769403422.933334100","124","192.168.0.30","57.144.196.192",,,"51124","443"
"1769403422.945708500","97","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403422.948169000","89","192.168.0.30","69.48.218.2",,,"54631","443"
"1769403422.985896700","60","57.144.196.192","192.168.0.30",,,"443","51124"
"1769403422.999611600","64","69.48.218.2","192.168.0.30",,,"443","54631"
"1769403423.027199700","126","57.144.196.192","192.168.0.30",,,"443","51124"
"1769403423.071071500","54","192.168.0.30","57.144.196.192",,,"51124","443"
"1769403423.657075100","98","192.168.0.30","1.1.1.1","58286","53",,
"1769403423.657277700","95","192.168.0.30","1.1.1.1","58286","53",,
"1769403423.657542700","107","192.168.0.30","8.8.8.8","61924","53",,
"1769403423.711060400","150","1.1.1.1","192.168.0.30","53","58286",,
"1769403423.711173900","123","8.8.8.8","192.168.0.30","53","61924",,
