# # 3I/ATLAS Optical Spectroscopy - Complete Pipeline Data with Uncertainties (2" FWHM Aperture)
# # Generated: 2025-08-08 19:12:25
# # Author: Rohan Rahatgaonkar, Thomas Puzia
# # Observation Date: 2025-07-03
# # Instrument: Goodman Spectrograph
# # Telescope: SOAR 4.1m
# #
# # DATA PROCESSING PIPELINE:
# # 1. Pre-flux calibration: Extracted spectra, wavelength calibrated
# # 2. Flux calibration: Sensitivity function from CD-32 9927 (Hamuy et al.)
# # 3. Solar analog method: HIP 90136 G2V star for solar normalization  
# # 4. SOLSPEC method: Meftah et al. 2018 solar reference spectrum
# # 5. Normalization: All spectra normalized to 1.0 at 6000Å
# # 6. Smoothing: Gaussian smoothing with 5Å FWHM
# # 7. Uncertainty propagation: CCD noise propagated through entire pipeline
# #
# # COLUMNS:
# # 0  Wavelength (Å)
# # 1  Pre-calibration reflectance (solar analog method)
# # 2  Flux-calibrated comet spectrum (erg s⁻¹ cm⁻² Å⁻¹, solar analog)
# # 3  Flux-calibrated solar analog spectrum (erg s⁻¹ cm⁻² Å⁻¹)
# # 4  Reflectance spectrum (solar analog method)
# # 5  Flux-calibrated comet spectrum (erg s⁻¹ cm⁻² Å⁻¹, SOLSPEC)
# # 6  SOLSPEC interpolated flux (erg s⁻¹ cm⁻² Å⁻¹)
# # 7  Reflectance spectrum (SOLSPEC method)
# # 8  Normalized reflectance (solar analog, norm @ 6000Å)
# # 9  Normalized reflectance (SOLSPEC, norm @ 6000Å)
# # 10 Smoothed normalized reflectance (solar analog, 5Å FWHM)
# # 11 Smoothed normalized reflectance (SOLSPEC, 5Å FWHM)
# # 12 Uncertainty - normalized reflectance (solar analog)
# # 13 Uncertainty - normalized reflectance (SOLSPEC)
# # 14 Uncertainty - smoothed reflectance (solar analog, 5Å FWHM)
# # 15 Uncertainty - smoothed reflectance (SOLSPEC, 5Å FWHM)
# #
# # Wavelength_Å  Pre_Refl_SA  Flux_Comet_SA  Flux_Solar_SA  Refl_SA  Flux_Comet_SOLSPEC  SOLSPEC_Flux  Refl_SOLSPEC  Norm_Refl_SA  Norm_Refl_SOLSPEC  Smooth_Refl_SA  Smooth_Refl_SOLSPEC  Unc_Norm_SA  Unc_Norm_SOLSPEC  Unc_Smooth_SA  Unc_Smooth_SOLSPEC
3700.07  nan  3.434041e-16  nan  nan  3.434041e-16  1.285982e+02  2.670364e-18  nan  6.655629e-01  nan  6.655629e-01  nan  2.779985e-01  nan  2.779985e-01
3702.07  1.596824e-03  1.285571e-16  8.050800e-14  1.596824e-03  1.285571e-16  1.270949e+02  1.011505e-18  2.374790e-01  2.521081e-01  nan  2.521081e-01  2.448157e-01  2.598551e-01  2.448157e-01  2.598551e-01
3704.07  1.226909e-03  1.041649e-16  8.490029e-14  1.226909e-03  1.041649e-16  1.188626e+02  8.763476e-19  1.824654e-01  2.184213e-01  1.824654e-01  2.184213e-01  2.290458e-01  2.741516e-01  2.290458e-01  2.741516e-01
3706.06  1.525746e-03  1.411186e-16  9.249150e-14  1.525746e-03  1.411186e-16  1.028249e+02  1.372416e-18  2.269084e-01  3.420617e-01  2.269084e-01  3.420617e-01  2.123465e-01  3.200496e-01  2.123465e-01  3.200496e-01
3708.06  2.139835e-03  2.033808e-16  9.504512e-14  2.139835e-03  2.033808e-16  1.010394e+02  2.012887e-18  3.182353e-01  5.016931e-01  3.182353e-01  5.016931e-01  2.102217e-01  3.312877e-01  2.102217e-01  3.312877e-01
3710.06  2.937978e-03  2.776520e-16  9.450445e-14  2.937978e-03  2.776520e-16  1.026698e+02  2.704319e-18  4.369349e-01  6.740261e-01  4.369349e-01  6.740261e-01  2.154287e-01  3.321069e-01  2.154287e-01  3.321069e-01
3712.05  1.734408e-03  1.524964e-16  8.792418e-14  1.734408e-03  1.524964e-16  1.170513e+02  1.302817e-18  2.579404e-01  3.247147e-01  2.579404e-01  3.247147e-01  2.192772e-01  2.759821e-01  2.192772e-01  2.759821e-01
3714.05  1.394673e-03  1.126550e-16  8.077524e-14  1.394673e-03  1.126550e-16  1.279413e+02  8.805208e-19  2.074152e-01  2.194615e-01  2.074152e-01  2.194615e-01  2.333282e-01  2.468482e-01  2.333282e-01  2.468482e-01
3716.05  2.090915e-03  1.666076e-16  7.968169e-14  2.090915e-03  1.666076e-16  1.329159e+02  1.253482e-18  3.109600e-01  3.124185e-01  3.109600e-01  3.124185e-01  2.405548e-01  2.416158e-01  2.405548e-01  2.416158e-01
3718.05  3.062161e-03  2.465309e-16  8.050880e-14  3.062161e-03  2.465309e-16  1.258016e+02  1.959681e-18  4.554034e-01  4.884319e-01  4.554034e-01  4.884319e-01  2.448688e-01  2.624733e-01  2.448688e-01  2.624733e-01
3720.04  1.924787e-03  1.654553e-16  8.596034e-14  1.924787e-03  1.654553e-16  1.054753e+02  1.568664e-18  2.862535e-01  3.909746e-01  2.862535e-01  3.909746e-01  2.221766e-01  3.033727e-01  2.221766e-01  3.033727e-01
3722.04  9.010177e-04  7.796953e-17  8.653496e-14  9.010177e-04  7.796953e-17  9.012838e+01  8.650941e-19  1.339990e-01  2.156165e-01  1.339990e-01  2.156165e-01  2.129204e-01  3.425862e-01  2.129204e-01  3.425862e-01
3724.04  2.228343e-03  1.851414e-16  8.308478e-14  2.228343e-03  1.851414e-16  9.949741e+01  1.860766e-18  3.313982e-01  4.637783e-01  3.313982e-01  4.637783e-01  2.310144e-01  3.231900e-01  2.310144e-01  3.231900e-01
3726.03  3.605218e-03  2.786235e-16  7.728338e-14  3.605218e-03  2.786235e-16  1.163105e+02  2.395514e-18  5.361666e-01  5.970591e-01  5.361666e-01  5.970591e-01  2.562996e-01  2.852071e-01  2.562996e-01  2.852071e-01
3728.03  1.501612e-03  1.045779e-16  6.964379e-14  1.501612e-03  1.045779e-16  1.130298e+02  9.252241e-19  2.233191e-01  2.306034e-01  nan  nan  2.647280e-01  2.733298e-01  2.647280e-01  2.733298e-01
3730.03  nan  -1.598269e-17  6.847596e-14  nan  -1.598269e-17  1.148995e+02  nan  nan  nan  nan  nan  nan  nan  nan  nan
3732.03  1.215447e-03  8.481022e-17  6.977697e-14  1.215447e-03  8.481022e-17  1.078101e+02  7.866634e-19  1.807608e-01  1.960684e-01  nan  nan  2.588236e-01  2.807168e-01  2.588236e-01  2.807168e-01
3734.02  2.405590e-03  1.860538e-16  7.734227e-14  2.405590e-03  1.860538e-16  9.135835e+01  2.036527e-18  3.577583e-01  5.075852e-01  3.577583e-01  5.075852e-01  2.414167e-01  3.423906e-01  2.414167e-01  3.423906e-01
3736.02  2.733001e-03  2.115973e-16  7.742306e-14  2.733001e-03  2.115973e-16  7.385386e+01  2.865081e-18  4.064508e-01  7.140944e-01  4.064508e-01  7.140944e-01  2.413639e-01  4.238544e-01  2.413639e-01  4.238544e-01
3738.02  2.857580e-03  2.139788e-16  7.488114e-14  2.857580e-03  2.139788e-16  7.727550e+01  2.769038e-18  4.249781e-01  6.901567e-01  4.249781e-01  6.901567e-01  2.474286e-01  4.016318e-01  2.474286e-01  4.016318e-01
