target,const,baseline_passes,highcov_passes,delta_passes,baseline_peak_el,highcov_peak_el,delta_peak_el,baseline_samples,highcov_samples,delta_samples,new_in_highcov
STARLINK-6171,STARLINK,0,11,11,0.0,65.39,65.39,0,11,11,1
STARLINK-5707,STARLINK,0,11,11,0.0,49.3,49.3,0,11,11,1
STARLINK-6203,STARLINK,0,10,10,0.0,78.26,78.26,0,10,10,1
STARLINK-6209,STARLINK,0,10,10,0.0,77.82,77.82,0,10,10,1
STARLINK-5654,STARLINK,0,10,10,0.0,77.39,77.39,0,10,10,1
STARLINK-5574,STARLINK,0,10,10,0.0,70.57,70.57,0,10,10,1
STARLINK-5095,STARLINK,0,10,10,0.0,70.11,70.11,0,10,10,1
STARLINK-30551,STARLINK,0,10,10,0.0,66.32,66.32,0,10,10,1
STARLINK-30223,STARLINK,0,10,10,0.0,62.83,62.83,0,10,10,1
STARLINK-5665,STARLINK,0,10,10,0.0,62.31,62.31,0,10,10,1
STARLINK-30586,STARLINK,0,10,10,0.0,61.44,61.44,0,10,10,1
STARLINK-6182,STARLINK,0,10,10,0.0,60.54,60.54,0,10,10,1
STARLINK-6206,STARLINK,0,10,10,0.0,55.73,55.73,0,10,10,1
STARLINK-5641,STARLINK,0,10,10,0.0,45.55,45.55,0,10,10,1
STARLINK-5625,STARLINK,0,10,10,0.0,45.27,45.27,0,10,10,1
STARLINK-30067,STARLINK,0,10,10,0.0,41.95,41.95,0,10,10,1
STARLINK-6243,STARLINK,0,10,10,0.0,37.03,37.03,0,10,10,1
STARLINK-6132,STARLINK,0,10,10,0.0,33.83,33.83,0,10,10,1
STARLINK-5631,STARLINK,0,10,10,0.0,32.33,32.33,0,10,10,1
STARLINK-6116,STARLINK,0,10,10,0.0,30.97,30.97,0,10,10,1
STARLINK-5821,STARLINK,0,10,10,0.0,30.67,30.67,0,10,10,1
STARLINK-6141,STARLINK,0,10,10,0.0,29.96,29.96,0,10,10,1
STARLINK-5528,STARLINK,0,10,10,0.0,29.36,29.36,0,10,10,1
STARLINK-6181,STARLINK,0,10,10,0.0,29.27,29.27,0,10,10,1
STARLINK-30079,STARLINK,0,10,10,0.0,28.14,28.14,0,10,10,1
STARLINK-5950,STARLINK,0,10,10,0.0,27.37,27.37,0,10,10,1
STARLINK-6219,STARLINK,0,10,10,0.0,27.31,27.31,0,10,10,1
STARLINK-6097,STARLINK,0,10,10,0.0,27.12,27.12,0,10,10,1
STARLINK-30128,STARLINK,0,10,10,0.0,27.1,27.1,0,10,10,1
STARLINK-6134,STARLINK,0,10,10,0.0,26.29,26.29,0,10,10,1
STARLINK-5666,STARLINK,0,10,10,0.0,26.0,26.0,0,10,10,1
STARLINK-5542,STARLINK,0,10,10,0.0,25.82,25.82,0,10,10,1
STARLINK-30255,STARLINK,0,10,10,0.0,25.77,25.77,0,10,10,1
STARLINK-6186,STARLINK,0,10,10,0.0,25.47,25.47,0,10,10,1
STARLINK-30289,STARLINK,0,9,9,0.0,88.56,88.56,0,9,9,1
STARLINK-30218,STARLINK,0,9,9,0.0,87.11,87.11,0,9,9,1
STARLINK-30100,STARLINK,0,9,9,0.0,80.61,80.61,0,9,9,1
STARLINK-5731,STARLINK,0,9,9,0.0,74.15,74.15,0,9,9,1
STARLINK-30457,STARLINK,0,9,9,0.0,72.41,72.41,0,9,9,1
STARLINK-6205,STARLINK,0,9,9,0.0,69.33,69.33,0,9,9,1
STARLINK-5853,STARLINK,0,9,9,0.0,67.73,67.73,0,9,9,1
STARLINK-30590,STARLINK,0,9,9,0.0,66.57,66.57,0,9,9,1
STARLINK-30466,STARLINK,0,9,9,0.0,62.71,62.71,0,9,9,1
STARLINK-6177,STARLINK,0,9,9,0.0,62.11,62.11,0,9,9,1
STARLINK-5627,STARLINK,0,9,9,0.0,61.59,61.59,0,9,9,1
STARLINK-30166,STARLINK,0,9,9,0.0,58.87,58.87,0,9,9,1
STARLINK-5653,STARLINK,0,9,9,0.0,57.14,57.14,0,9,9,1
STARLINK-30864,STARLINK,0,9,9,0.0,56.53,56.53,0,9,9,1
STARLINK-6154,STARLINK,0,9,9,0.0,56.28,56.28,0,9,9,1
STARLINK-6192,STARLINK,0,9,9,0.0,56.27,56.27,0,9,9,1
STARLINK-30258,STARLINK,0,9,9,0.0,54.26,54.26,0,9,9,1
STARLINK-6180,STARLINK,0,9,9,0.0,53.41,53.41,0,9,9,1
STARLINK-5571,STARLINK,0,9,9,0.0,52.85,52.85,0,9,9,1
STARLINK-30463,STARLINK,0,9,9,0.0,51.68,51.68,0,9,9,1
STARLINK-5828,STARLINK,0,9,9,0.0,51.24,51.24,0,9,9,1
STARLINK-5651,STARLINK,0,9,9,0.0,50.86,50.86,0,9,9,1
STARLINK-5667,STARLINK,0,9,9,0.0,50.61,50.61,0,9,9,1
STARLINK-5647,STARLINK,0,9,9,0.0,50.59,50.59,0,9,9,1
STARLINK-30428,STARLINK,0,9,9,0.0,50.25,50.25,0,9,9,1
STARLINK-6195,STARLINK,0,9,9,0.0,49.77,49.77,0,9,9,1
STARLINK-6155,STARLINK,0,9,9,0.0,49.19,49.19,0,9,9,1
STARLINK-32460,STARLINK,0,9,9,0.0,48.08,48.08,0,9,9,1
STARLINK-30036,STARLINK,0,9,9,0.0,48.04,48.04,0,9,9,1
STARLINK-30886,STARLINK,0,9,9,0.0,47.95,47.95,0,9,9,1
STARLINK-5496,STARLINK,0,9,9,0.0,47.78,47.78,0,9,9,1
STARLINK-30056,STARLINK,0,9,9,0.0,47.4,47.4,0,9,9,1
STARLINK-30453,STARLINK,0,9,9,0.0,47.33,47.33,0,9,9,1
STARLINK-30249,STARLINK,0,9,9,0.0,47.32,47.32,0,9,9,1
STARLINK-5515,STARLINK,0,9,9,0.0,46.87,46.87,0,9,9,1
STARLINK-30861,STARLINK,0,9,9,0.0,46.53,46.53,0,9,9,1
STARLINK-30294,STARLINK,0,9,9,0.0,46.16,46.16,0,9,9,1
STARLINK-6127,STARLINK,0,9,9,0.0,45.61,45.61,0,9,9,1
STARLINK-32547,STARLINK,0,9,9,0.0,45.33,45.33,0,9,9,1
STARLINK-35833,STARLINK,0,9,9,0.0,44.99,44.99,0,9,9,1
STARLINK-30121,STARLINK,0,9,9,0.0,44.76,44.76,0,9,9,1
STARLINK-30881,STARLINK,0,9,9,0.0,44.64,44.64,0,9,9,1
STARLINK-32749,STARLINK,0,9,9,0.0,44.5,44.5,0,9,9,1
STARLINK-5491,STARLINK,0,9,9,0.0,44.37,44.37,0,9,9,1
STARLINK-30265,STARLINK,0,9,9,0.0,44.18,44.18,0,9,9,1
STARLINK-5622,STARLINK,0,9,9,0.0,43.72,43.72,0,9,9,1
STARLINK-32710,STARLINK,0,9,9,0.0,43.53,43.53,0,9,9,1
STARLINK-5773,STARLINK,0,9,9,0.0,43.45,43.45,0,9,9,1
STARLINK-35698,STARLINK,0,9,9,0.0,43.27,43.27,0,9,9,1
STARLINK-32622,STARLINK,0,9,9,0.0,42.37,42.37,0,9,9,1
STARLINK-30873,STARLINK,0,9,9,0.0,42.18,42.18,0,9,9,1
STARLINK-5834,STARLINK,0,9,9,0.0,41.93,41.93,0,9,9,1
STARLINK-30041,STARLINK,0,9,9,0.0,41.84,41.84,0,9,9,1
STARLINK-5999,STARLINK,0,9,9,0.0,41.74,41.74,0,9,9,1
STARLINK-35451,STARLINK,0,9,9,0.0,41.27,41.27,0,9,9,1
STARLINK-32752,STARLINK,0,9,9,0.0,40.97,40.97,0,9,9,1
STARLINK-30244,STARLINK,0,9,9,0.0,40.55,40.55,0,9,9,1
STARLINK-30604,STARLINK,0,9,9,0.0,39.98,39.98,0,9,9,1
