target,const,pass_index,start,end,peak_time,peak_el,sample_count
STARLINK-1031,STARLINK,1,21:00,21:00,21:00,6.21,1
STARLINK-1042,STARLINK,1,19:46,19:46,19:46,13.33,6
STARLINK-1042,STARLINK,2,19:48,19:48,19:48,28.47,6
STARLINK-1042,STARLINK,3,19:50,19:50,19:50,19.81,6
STARLINK-1042,STARLINK,4,19:52,19:52,19:52,6.74,6
STARLINK-1042,STARLINK,5,21:24,21:24,21:24,8.04,6
STARLINK-1042,STARLINK,6,21:26,21:26,21:26,7.97,6
STARLINK-1053,STARLINK,1,18:58,18:58,18:58,10.68,5
STARLINK-1053,STARLINK,2,19:00,19:00,19:00,15.8,5
STARLINK-1053,STARLINK,3,19:02,19:02,19:02,6.67,5
STARLINK-1053,STARLINK,4,20:32,20:32,20:32,5.19,5
STARLINK-1053,STARLINK,5,20:34,20:34,20:34,7.07,5
STARLINK-1080,STARLINK,1,19:26,19:26,19:26,13.64,6
STARLINK-1080,STARLINK,2,19:28,19:28,19:28,19.62,6
STARLINK-1080,STARLINK,3,19:30,19:30,19:30,11.69,6
STARLINK-1080,STARLINK,4,21:02,21:02,21:02,7.5,6
STARLINK-1080,STARLINK,5,21:04,21:04,21:04,12.93,6
STARLINK-1080,STARLINK,6,21:06,21:06,21:06,10.29,6
STARLINK-1090,STARLINK,1,20:48,20:48,20:48,12.28,4
STARLINK-1090,STARLINK,2,20:50,20:50,20:50,28.41,4
STARLINK-1090,STARLINK,3,20:52,20:52,20:52,33.02,4
STARLINK-1090,STARLINK,4,20:54,20:54,20:54,15.65,4
STARLINK-1094,STARLINK,1,21:56,21:56,21:56,11.47,3
STARLINK-1094,STARLINK,2,21:58,21:58,21:58,32.86,3
STARLINK-1094,STARLINK,3,22:00,22:00,22:00,48.27,3
STARLINK-11072 [DTC],STARLINK,1,18:26,18:26,18:26,5.22,6
STARLINK-11072 [DTC],STARLINK,2,18:28,18:28,18:28,12.78,6
STARLINK-11072 [DTC],STARLINK,3,18:30,18:30,18:30,12.14,6
STARLINK-11072 [DTC],STARLINK,4,20:02,20:02,20:02,8.01,6
STARLINK-11072 [DTC],STARLINK,5,20:04,20:04,20:04,13.14,6
STARLINK-11072 [DTC],STARLINK,6,20:06,20:06,20:06,8.39,6
STARLINK-11075 [DTC],STARLINK,1,18:34,18:34,18:34,9.56,5
STARLINK-11075 [DTC],STARLINK,2,18:36,18:36,18:36,17.67,5
STARLINK-11075 [DTC],STARLINK,3,18:38,18:38,18:38,11.64,5
STARLINK-11075 [DTC],STARLINK,4,20:10,20:10,20:10,8.31,5
STARLINK-11075 [DTC],STARLINK,5,20:12,20:12,20:12,9.71,5
STARLINK-11076 [DTC],STARLINK,1,18:14,18:14,18:14,8.65,5
STARLINK-11076 [DTC],STARLINK,2,18:16,18:16,18:16,5.93,5
STARLINK-11076 [DTC],STARLINK,3,19:48,19:48,19:48,15.64,5
STARLINK-11076 [DTC],STARLINK,4,19:50,19:50,19:50,20.1,5
